asr_segment_id,start,end,duration,text,speaker,language,start_hms,end_hms
31,135.6,137.28,1.6800000000000068,"Next to month 10,000 you paid.",,en,02:15.600,02:17.280
32,137.981,139.761,1.7800000000000011,If it is gold at high means 1.5 gram.,,en,02:17.981,02:19.761
33,140.201,141.481,1.2800000000000011,If it is low means 1.6 gram.,,en,02:20.201,02:21.481
34,141.701,145.322,3.6210000000000093,"So, that much if you pay 10 month means around 15 gram will be accumulated.",,en,02:21.701,02:25.322
35,146.262,149.363,3.100999999999999,Gold is your gold is 15 gram sir.,,en,02:26.262,02:29.363
36,149.763,154.924,5.161000000000001,"So, for that 15 gram up to 12 percent making charges way off will be there.",,en,02:29.763,02:34.924
37,154.944,160.445,5.501000000000005,"For example, UP purchase any ornaments any other than coins sir, any gold chain necklace.",,en,02:34.944,02:40.445
38,160.785,163.406,2.6210000000000093,"So, that making charges will be the 22 percent sir.",,en,02:40.785,02:43.406
39,164.686,167.967,3.281000000000006,"So, 50 percent of the making charges will be cover up means you pay only 11 percent.",,en,02:44.686,02:47.967
40,169.875,170.796,0.9209999999999923,"So, that will be the plan.",,en,02:49.875,02:50.796
41,171.316,176.22,4.903999999999996,"So, if it is 24 means 12 percent waived off, if it is 30 yeah up to 12 percent.",,en,02:51.316,02:56.220
42,177.281,182.065,4.783999999999992,"So, if it is 30 percent means 12 minus remaining 18 only you pay like that will be there.",,en,02:57.281,03:02.065
43,182.145,184.827,2.681999999999988,Gold rate also accumulated plus whatever the offers will be there.,,en,03:02.145,03:04.827
44,184.847,186.228,1.3810000000000002,But what about the amount extra?,,en,03:04.847,03:06.228
45,186.608,188.029,1.4209999999999923,Amount will not get it in that plan.,,en,03:06.608,03:08.029
46,188.049,188.99,0.9410000000000025,New plan.,,en,03:08.049,03:08.990
47,189.01,189.711,0.7010000000000218,"Yeah, new plan.",,en,03:09.010,03:09.711
48,189.771,194.875,5.104000000000013,"So, old plan also there the golden harvest plan with that same thing same procedure I will explain now that it will be same thing.",,en,03:09.771,03:14.875
49,197.661,199.381,1.7199999999999989,7.5 percent rate of interest.,,en,03:17.661,03:19.381
50,199.542,202.203,2.6610000000000014,If you go for like a pro-rata means 11.99 percent.,,en,03:19.542,03:22.203
51,202.943,206.704,3.7609999999999957,"So, two scheme you are closing or at least one you can restart now today, any amount.",,en,03:22.943,03:26.704
52,206.904,208.185,1.281000000000006,"No, no, I will come with my wife.",,en,03:26.904,03:28.185
53,216.188,216.908,0.7199999999999989,See the reason is,,en,03:36.188,03:36.908
54,220.954,225.779,4.824999999999989,"My daughter is going to office right, so they prefer the Miya kind of business.",,en,03:40.954,03:45.779
55,225.799,230.023,4.2239999999999895,"You know Miya also you can purchase in Golden Harvest right, there is no restriction.",,en,03:45.799,03:50.023
56,230.323,233.326,3.002999999999986,But Naya scheme is only for Tanish.,,en,03:50.323,03:53.326
57,233.647,235.228,1.5810000000000173,You are not able to purchase in Miya.,,en,03:53.647,03:55.228
58,235.649,237.531,1.882000000000005,But Gold scheme can continue anyway.,,en,03:55.649,03:57.531
59,237.551,239.372,1.8210000000000264,You can purchase Coin also in that one.,,en,03:57.551,03:59.372
60,239.913,240.754,0.8409999999999798,There is no restriction.,,en,03:59.913,04:00.754
61,240.814,241.314,0.5,Golden Harvest.,,en,04:00.814,04:01.314
62,241.414,242.155,0.7410000000000139,Golden Harvest.,,en,04:01.414,04:02.155
63,242.856,244.898,2.0420000000000016,You can redeem in Miya by Tanish culture.,,en,04:02.856,04:04.898
64,247.495,250.076,2.580999999999989,"So, how much grams I will give for 1,00,000?",,en,04:07.495,04:10.076
65,250.557,251.037,0.4800000000000182,"1,00,000 sir.",,en,04:10.557,04:11.037
66,251.057,253.078,2.021000000000015,How many coins I will give?,,en,04:11.057,04:13.078
67,253.098,259.661,6.562999999999988,"Coins right 1,00,000 24 correct means around 100 coins I will give 100 coins.",,en,04:13.098,04:19.661
68,261.222,268.726,7.504000000000019,"No, no, no, no, no, no, no, no, no, no.",,en,04:21.222,04:28.726
69,278.405,280.826,2.421000000000049,Today it actually this is yesterday price.,,en,04:38.405,04:40.826
70,281.286,283.247,1.9610000000000127,"So, approximately 1 lakh 7000 means.",,en,04:41.286,04:43.247
71,284.828,286.068,1.240000000000009,1 coin is how many grams?,,en,04:44.828,04:46.068
72,287.529,287.969,0.4399999999999977,Yeah.,,en,04:47.529,04:47.969
73,288.089,289.55,1.4610000000000127,1 is 24 karat coin.,,en,04:48.089,04:49.550
74,289.61,291.33,1.7199999999999704,1 gram 1 starting from 1 gram only.,,en,04:49.610,04:51.330
75,291.891,297.633,5.741999999999962,"So, for example, you will get around for 1 lakh 10th 73000 7 plus 3 10.",,en,04:51.891,04:57.633
76,298.173,302.335,4.161999999999978,"So, 15 grams are 24 karat approximately 15 gram coin you will get.",,en,04:58.173,05:02.335
77,304.065,307.827,3.7620000000000005,"No, no, no.",,en,05:04.065,05:07.827
78,307.987,310.169,2.1819999999999595,"Ten gram plus five gram, like this one.",,en,05:07.987,05:10.169
79,310.569,311.93,1.36099999999999,This is five grams.,,en,05:10.569,05:11.930
80,311.97,313.711,1.7409999999999854,"Ten gram, yeah, ten plus five.",,en,05:11.970,05:13.711
81,313.791,315.872,2.0810000000000173,"Eight is there, eight plus three.",,en,05:13.791,05:15.872
82,316.312,321.655,5.342999999999961,"Sir, you are going to plan two plans, right?",,en,05:16.312,05:21.655
83,322.095,326.438,4.342999999999961,"One plan, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am, ma'am.",,en,05:22.095,05:26.438
84,333.688,335.149,1.4610000000000127,"She has to sign, right?",,en,05:33.688,05:35.149
85,364.501,366.623,2.122000000000014,Sign and she will be there herself.,,en,06:04.501,06:06.623
86,366.943,367.483,0.5400000000000205,She has to sign.,,en,06:06.943,06:07.483
87,367.723,367.983,0.2599999999999909,Yeah.,,en,06:07.723,06:07.983
88,370.365,371.505,1.1399999999999864,I will build ma'am name only.,,en,06:10.365,06:11.505
89,371.605,375.467,3.8619999999999663,That's all right sir.,,en,06:11.605,06:15.467
90,375.507,377.148,1.6410000000000196,"If it is open sir, I will club note also.",,en,06:15.507,06:17.148
91,378.049,379.59,1.5409999999999968,If once came already you closed in me.,,en,06:18.049,06:19.590
92,379.61,380.31,0.6999999999999886,That's all right sir.,,en,06:19.610,06:20.310
93,383.732,384.172,0.4399999999999977,Sorry sir.,,en,06:23.732,06:24.172
94,384.292,384.653,0.36100000000004684,No.,,en,06:24.292,06:24.653
95,384.953,385.693,0.7400000000000091,Yeah please come sir.,,en,06:24.953,06:25.693
96,385.753,385.953,0.19999999999998863,Yeah sir.,,en,06:25.753,06:25.953
97,385.973,387.154,1.1809999999999832,So please plan new one also.,,en,06:25.973,06:27.154
98,387.174,387.734,0.5600000000000023,I will assist you.,,en,06:27.174,06:27.734
99,388.094,388.595,0.5010000000000332,Okay.,,en,06:28.094,06:28.595
100,388.635,389.075,0.4399999999999977,Thank you sir.,,en,06:28.635,06:29.075
101,398.02,398.5,0.4800000000000182,Prakash sir.,,en,06:38.020,06:38.500
102,399.061,399.541,0.4800000000000182,Prakash sir.,,en,06:39.061,06:39.541
103,399.881,400.182,0.30100000000004457,Prakash sir.,,en,06:39.881,06:40.182
104,400.202,400.722,0.5199999999999818,Prakash sir.,,en,06:40.202,06:40.722
105,424.775,425.355,0.5800000000000409,There is a burlail.,,en,07:04.775,07:05.355
106,425.455,426.756,1.3009999999999877,I brought a popo from the corner.,,en,07:05.455,07:06.756
107,426.776,429.076,2.3000000000000114,I don't know how to put it.,,en,07:06.776,07:09.076
108,430.236,431.477,1.2409999999999854,"If you don't have a popo, give it to your dad.",,en,07:10.236,07:11.477
109,431.497,432.817,1.3199999999999932,That will be enough.,,en,07:11.497,07:12.817
110,433.157,437.178,4.021000000000015,"If you have another problem, give it to your dad.",,en,07:13.157,07:17.178
111,454.323,454.967,0.6440000000000055,with redemption.,,en,07:34.323,07:34.967
112,511.226,517.508,6.282000000000039,"Yes ma'am, yes sir.",,en,08:31.226,08:37.508
113,517.588,519.009,1.4210000000000491,Diamond drink.,,en,08:37.588,08:39.009
114,519.309,523.73,4.421000000000049,"Diamond drink, second bottle like this.",,en,08:39.309,08:43.730
115,524.11,526.551,2.441000000000031,"Size, 15.5, 10 to 15.5.",,en,08:44.110,08:46.551
116,526.591,536.215,9.624000000000024,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",,en,08:46.591,08:56.215
117,541.265,542.285,1.0199999999999818,"17, 18, 19.",,en,09:01.265,09:02.285
118,542.305,545.186,2.8810000000000855,"Ma'am, is it possible to order the size of 15?",,en,09:02.305,09:05.186
119,545.226,546.607,1.3809999999999718,We have to order the size of 15.,,en,09:05.226,09:06.607
120,546.627,547.287,0.6600000000000819,It is different.,,en,09:06.627,09:07.287
121,547.387,549.308,1.9210000000000491,The size of the Tannish is different.,,en,09:07.387,09:09.308
122,549.968,552.869,2.9010000000000673,Where is the size of the Tannish?,,en,09:09.968,09:12.869
123,552.929,554.649,1.7200000000000273,We have to order the size of the Tannish.,,en,09:12.929,09:14.649
124,555.249,556.57,1.3210000000000264,"Look at the design, sir.",,en,09:15.249,09:16.570
125,556.59,557.53,0.9399999999999409,Do you like the design?,,en,09:16.590,09:17.530
126,558.09,559.331,1.2409999999999854,Do you have 14?,,en,09:18.090,09:19.331
127,559.351,561.351,2.0,14 is also doubtful.,,en,09:19.351,09:21.351
128,562.152,564.012,1.8599999999999,"Because the standard is 11, 12, 13, right?",,en,09:22.152,09:24.012
129,564.312,565.093,0.7809999999999491,We will check with that.,,en,09:24.312,09:25.093
130,565.573,568.814,3.2409999999999854,"If it is in case, if you like the design, we will check with the like factory.",,en,09:25.573,09:28.814
131,572.91,573.49,0.5800000000000409,Is it still okay?,,en,09:32.910,09:33.490
132,573.57,577.373,3.8029999999999973,I'm a bit uncomfortable.,,en,09:33.570,09:37.373
133,577.553,578.794,1.2409999999999854,I'm a bit uncomfortable.,,en,09:37.553,09:38.794
134,578.814,581.155,2.341000000000008,I'm a bit uncomfortable.,,en,09:38.814,09:41.155
135,581.295,584.157,2.86200000000008,I'm a bit uncomfortable.,,en,09:41.295,09:44.157
136,584.197,585.438,1.2409999999999854,I'm a bit uncomfortable.,,en,09:44.197,09:45.438
137,585.978,590.821,4.843000000000075,I'm a bit uncomfortable.,,en,09:45.978,09:50.821
138,590.881,593.462,2.5810000000000173,I'm a bit uncomfortable.,,en,09:50.881,09:53.462
139,598.728,601.109,2.3810000000000855,Have you ever purchased a tennis recently?,,en,09:58.728,10:01.109
140,601.349,603.33,1.9809999999999945,"Yes, she has purchased it before.",,en,10:01.349,10:03.330
141,603.39,604.731,1.3410000000000082,In this showroom you came.,,en,10:03.390,10:04.731
142,605.431,607.372,1.9409999999999172,I came in when I was at the road one.,,en,10:05.431,10:07.372
143,607.932,608.493,0.5610000000000355,Okay.,,en,10:07.932,10:08.493
144,609.073,617.037,7.9640000000000555,You didn't like the design so they told around 15.,,en,10:09.073,10:17.037
145,617.277,621.719,4.442000000000007,They told us that around 15 new stock will be coming in all the stores.,,en,10:17.277,10:21.719
146,621.899,622.72,0.8210000000000264,"Yeah, this is second floor.",,en,10:21.899,10:22.720
147,622.74,623.12,0.37999999999999545,Please come.,,en,10:22.740,10:23.120
148,634.585,635.506,0.9209999999999354,"Sir, diamond here please come.",,en,10:34.585,10:35.506
149,635.526,642.652,7.12600000000009,"Here only you can see, I bring the designs here, because you will",,en,10:35.526,10:42.652
150,665.934,689.162,23.228000000000065,Which one?,,en,11:05.934,11:29.162
151,689.302,689.842,0.5399999999999636,"Like this, no?",,en,11:29.302,11:29.842
152,690.642,692.803,2.1609999999999445,"Yeah, both band type you can use both.",,en,11:30.642,11:32.803
153,695.338,696.179,0.8410000000000082,I'm sorry.,,en,11:35.338,11:36.179
154,749.911,759.335,9.424000000000092,We will check with that.,,en,12:29.911,12:39.335
155,759.715,762.316,2.600999999999999,"20,000, 30,000, 35,000 I said just check the size ma.",,en,12:39.715,12:42.316
156,766.218,766.738,0.5200000000000955,Those I think.,,en,12:46.218,12:46.738
157,768.239,771.22,2.9809999999999945,"No, this is 14 actually one piece.",,en,12:48.239,12:51.220
158,775.202,777.463,2.2609999999999673,See the designs now you can just check with the other.,,en,12:55.202,12:57.463
159,787.891,788.851,0.9600000000000364,This is a separate room.,,en,13:07.891,13:08.851
160,789.192,789.732,0.5399999999999636,This is 11.,,en,13:09.192,13:09.732
161,789.772,792.633,2.86099999999999,"This is 13, 13, 13.",,en,13:09.772,13:12.633
162,792.653,794.194,1.54099999999994,What is the price?,,en,13:12.653,13:14.194
163,794.214,794.715,0.5009999999999764,I don't know.,,en,13:14.214,13:14.715
164,814.033,815.154,1.120999999999981,ma'am this is 11 only.,,en,13:34.033,13:35.154
165,815.695,817.077,1.3819999999999482,I said no the next case is different.,,en,13:35.695,13:37.077
166,817.638,818.899,1.2609999999999673,"So, we will get it ma'am.",,en,13:37.638,13:38.899
167,826.97,827.891,0.9209999999999354,Coffee tea anything sir.,,en,13:46.970,13:47.891
168,828.392,828.672,0.2799999999999727,Coffee.,,en,13:48.392,13:48.672
169,852.747,854.908,2.161000000000058,"34,627 34,000 34,000 34,000",,en,14:12.747,14:14.908
170,884.087,902.262,18.174999999999955,present you will get a total value of 5% discount whatever the diamond you purchase we will get 6% minimum 6% whichever the highest one will give and we have a plan also monthly investment plan be right,,en,14:44.087,15:02.262
171,919.264,920.302,1.038000000000011,It's very good.,,en,15:19.264,15:20.302
172,920.485,921.34,0.8550000000000182,It's good.,,en,15:20.485,15:21.340
